needed size,max k,alpha,unknownId,classification(count)(average position),pearson,isoId,species
3,66,0.500,PH-1,Cow(3)(22.000000),0.992,Cw-1311,Cow
3,66,0.500,PH-1,Cow(3)(22.000000),0.991,Cw-1255,Cow
3,66,0.500,PH-1,Cow(3)(22.000000),0.991,Cw-1299,Cow
