k,alpha,isoId,classification
6,0.000,PH-019,Pigeon
7,0.000,PH-019,Pigeon
8,0.000,PH-019,Pigeon
1,0.500,PH-019,null
2,0.500,PH-019,Pigeon
3,0.500,PH-019,Horse
4,0.500,PH-019,Cw
5,0.500,PH-019,Pigeon
6,0.500,PH-019,Pigeon
7,0.500,PH-019,Pigeon
8,0.500,PH-019,Pigeon
1,0.900,PH-019,null
2,0.900,PH-019,Pigeon
3,0.900,PH-019,Horse
4,0.900,PH-019,Cw
5,0.900,PH-019,Pigeon
6,0.900,PH-019,Pigeon
7,0.900,PH-019,Pigeon
8,0.900,PH-019,Pigeon
1,0.950,PH-019,null
2,0.950,PH-019,Pigeon
3,0.950,PH-019,Horse
4,0.950,PH-019,Cw
5,0.950,PH-019,Pigeon
6,0.950,PH-019,Pigeon
7,0.950,PH-019,Pigeon
8,0.950,PH-019,Pigeon
1,0.980,PH-019,null
2,0.980,PH-019,Pigeon
3,0.980,PH-019,Horse
4,0.980,PH-019,Cw
5,0.980,PH-019,Pigeon
6,0.980,PH-019,Pigeon
7,0.980,PH-019,Pigeon
8,0.980,PH-019,Pigeon
1,0.990,PH-019,null
2,0.990,PH-019,Pigeon
3,0.990,PH-019,Horse
4,0.990,PH-019,Cw
5,0.990,PH-019,Cw
6,0.990,PH-019,Cw
7,0.990,PH-019,Cw
8,0.990,PH-019,Cw
1,0.000,PH-018,null
2,0.000,PH-018,Pigeon
3,0.000,PH-018,Horse
4,0.000,PH-018,Cw
5,0.000,PH-018,Pigeon
6,0.000,PH-018,Cow
7,0.000,PH-018,Pigeon
8,0.000,PH-018,Pigeon
1,0.500,PH-018,null
2,0.500,PH-018,Pigeon
3,0.500,PH-018,Horse
4,0.500,PH-018,Cw
5,0.500,PH-018,Pigeon
6,0.500,PH-018,Cow
7,0.500,PH-018,Pigeon
8,0.500,PH-018,Pigeon
1,0.900,PH-018,null
2,0.900,PH-018,Pigeon
3,0.900,PH-018,Horse
4,0.900,PH-018,Cw
5,0.900,PH-018,Pigeon
6,0.900,PH-018,Cow
7,0.900,PH-018,Pigeon
8,0.900,PH-018,Pigeon
1,0.950,PH-018,null
2,0.950,PH-018,Pigeon
3,0.950,PH-018,Horse
4,0.950,PH-018,Cw
5,0.950,PH-018,Pigeon
6,0.950,PH-018,Cow
7,0.950,PH-018,Pigeon
8,0.950,PH-018,Pigeon
1,0.980,PH-018,null
2,0.980,PH-018,Pigeon
3,0.980,PH-018,Horse
4,0.980,PH-018,Cw
5,0.980,PH-018,Pigeon
6,0.980,PH-018,Cow
7,0.980,PH-018,Pigeon
8,0.980,PH-018,Pigeon
1,0.990,PH-018,null
2,0.990,PH-018,Pigeon
3,0.990,PH-018,Horse
4,0.990,PH-018,Cw
5,0.990,PH-018,Pigeon
6,0.990,PH-018,Cow
7,0.990,PH-018,Pigeon
8,0.990,PH-018,Pigeon
1,0.000,PH-017,null
2,0.000,PH-017,Cow
3,0.000,PH-017,Horse
4,0.000,PH-017,Horse
5,0.000,PH-017,Horse
6,0.000,PH-017,Cow
7,0.000,PH-017,Cow
8,0.000,PH-017,Cow
1,0.500,PH-017,null
2,0.500,PH-017,Cow
3,0.500,PH-017,Horse
4,0.500,PH-017,Horse
5,0.500,PH-017,Horse
6,0.500,PH-017,Cow
7,0.500,PH-017,Cow
8,0.500,PH-017,Cow
1,0.900,PH-017,null
2,0.900,PH-017,Cow
3,0.900,PH-017,Horse
4,0.900,PH-017,Horse
5,0.900,PH-017,Horse
6,0.900,PH-017,Cow
7,0.900,PH-017,Cow
8,0.900,PH-017,Cow
1,0.950,PH-017,null
2,0.950,PH-017,Cow
3,0.950,PH-017,Horse
4,0.950,PH-017,Horse
5,0.950,PH-017,Horse
6,0.950,PH-017,Cow
7,0.950,PH-017,Cow
8,0.950,PH-017,Cow
1,0.980,PH-017,null
2,0.980,PH-017,Human
3,0.980,PH-017,Human
4,0.980,PH-017,Human
5,0.980,PH-017,Human
6,0.980,PH-017,Human
7,0.980,PH-017,Human
8,0.980,PH-017,Human
1,0.990,PH-017,null
2,0.990,PH-017,null
3,0.990,PH-017,null
4,0.990,PH-017,null
5,0.990,PH-017,null
6,0.990,PH-017,null
7,0.990,PH-017,null
8,0.990,PH-017,null
1,0.000,PH-016,null
2,0.000,PH-016,Pigeon
3,0.000,PH-016,Pigeon
4,0.000,PH-016,Human
5,0.000,PH-016,Human
6,0.000,PH-016,Human
7,0.000,PH-016,Human
8,0.000,PH-016,Pigeon
1,0.500,PH-016,null
2,0.500,PH-016,Pigeon
3,0.500,PH-016,Pigeon
4,0.500,PH-016,Human
5,0.500,PH-016,Human
6,0.500,PH-016,Human
7,0.500,PH-016,Human
8,0.500,PH-016,Pigeon
1,0.900,PH-016,null
2,0.900,PH-016,Pigeon
3,0.900,PH-016,Pigeon
4,0.900,PH-016,Human
5,0.900,PH-016,Human
6,0.900,PH-016,Human
7,0.900,PH-016,Human
8,0.900,PH-016,Pigeon
1,0.950,PH-016,null
2,0.950,PH-016,Pigeon
3,0.950,PH-016,Pigeon
4,0.950,PH-016,Human
5,0.950,PH-016,Human
6,0.950,PH-016,Human
7,0.950,PH-016,Human
8,0.950,PH-016,Pigeon
1,0.980,PH-016,null
2,0.980,PH-016,Pigeon
3,0.980,PH-016,Pigeon
4,0.980,PH-016,Human
5,0.980,PH-016,Human
6,0.980,PH-016,Human
7,0.980,PH-016,Pigeon
8,0.980,PH-016,Pigeon
1,0.990,PH-016,null
2,0.990,PH-016,Human
3,0.990,PH-016,Human
4,0.990,PH-016,Human
5,0.990,PH-016,Human
6,0.990,PH-016,Human
7,0.990,PH-016,Human
8,0.990,PH-016,Human
1,0.000,PH-026,null
2,0.000,PH-026,Horse
3,0.000,PH-026,Horse
4,0.000,PH-026,Horse
5,0.000,PH-026,Cow
6,0.000,PH-026,Cow
7,0.000,PH-026,Cow
8,0.000,PH-026,Cow
1,0.500,PH-026,null
2,0.500,PH-026,Horse
3,0.500,PH-026,Horse
4,0.500,PH-026,Horse
5,0.500,PH-026,Cow
6,0.500,PH-026,Cow
7,0.500,PH-026,Cow
8,0.500,PH-026,Cow
1,0.900,PH-026,null
2,0.900,PH-026,Horse
3,0.900,PH-026,Horse
4,0.900,PH-026,Horse
5,0.900,PH-026,Cow
6,0.900,PH-026,Cow
7,0.900,PH-026,Cow
8,0.900,PH-026,Cow
1,0.950,PH-026,null
2,0.950,PH-026,Horse
3,0.950,PH-026,Horse
4,0.950,PH-026,Horse
5,0.950,PH-026,Cow
6,0.950,PH-026,Cow
7,0.950,PH-026,Cow
8,0.950,PH-026,Cow
1,0.980,PH-026,null
2,0.980,PH-026,Horse
3,0.980,PH-026,Horse
4,0.980,PH-026,Horse
5,0.980,PH-026,Cow
6,0.980,PH-026,Cow
7,0.980,PH-026,Cow
8,0.980,PH-026,Cow
1,0.990,PH-026,null
2,0.990,PH-026,null
3,0.990,PH-026,null
4,0.990,PH-026,null
5,0.990,PH-026,null
6,0.990,PH-026,null
7,0.990,PH-026,null
8,0.990,PH-026,null
1,0.000,PH-025,null
2,0.000,PH-025,Horse
3,0.000,PH-025,Horse
4,0.000,PH-025,Horse
5,0.000,PH-025,Horse
6,0.000,PH-025,Horse
7,0.000,PH-025,Cow
8,0.000,PH-025,Cow
1,0.500,PH-025,null
2,0.500,PH-025,Horse
3,0.500,PH-025,Horse
4,0.500,PH-025,Horse
5,0.500,PH-025,Horse
6,0.500,PH-025,Horse
7,0.500,PH-025,Cow
8,0.500,PH-025,Cow
1,0.900,PH-025,null
2,0.900,PH-025,Horse
3,0.900,PH-025,Horse
4,0.900,PH-025,Horse
5,0.900,PH-025,Horse
6,0.900,PH-025,Horse
7,0.900,PH-025,Cow
8,0.900,PH-025,Cow
1,0.950,PH-025,null
2,0.950,PH-025,Horse
3,0.950,PH-025,Horse
4,0.950,PH-025,Horse
5,0.950,PH-025,Horse
6,0.950,PH-025,Horse
7,0.950,PH-025,Cow
8,0.950,PH-025,Cow
1,0.980,PH-025,null
2,0.980,PH-025,Horse
3,0.980,PH-025,Horse
4,0.980,PH-025,Horse
5,0.980,PH-025,Horse
6,0.980,PH-025,Horse
7,0.980,PH-025,Cow
8,0.980,PH-025,Cow
1,0.990,PH-025,null
2,0.990,PH-025,Human
3,0.990,PH-025,Human
4,0.990,PH-025,Human
5,0.990,PH-025,Human
6,0.990,PH-025,Human
7,0.990,PH-025,Human
8,0.990,PH-025,Human
1,0.000,PH-024,null
2,0.000,PH-024,Cow
3,0.000,PH-024,Cow
4,0.000,PH-024,Cw
5,0.000,PH-024,Pigeon
6,0.000,PH-024,Cow
7,0.000,PH-024,Cow
8,0.000,PH-024,Cow
1,0.500,PH-024,null
2,0.500,PH-024,Cow
3,0.500,PH-024,Cow
4,0.500,PH-024,Cw
5,0.500,PH-024,Pigeon
6,0.500,PH-024,Cow
7,0.500,PH-024,Cow
8,0.500,PH-024,Cow
1,0.900,PH-024,null
2,0.900,PH-024,Cow
3,0.900,PH-024,Cow
4,0.900,PH-024,Cw
5,0.900,PH-024,Pigeon
6,0.900,PH-024,Cow
7,0.900,PH-024,Cow
8,0.900,PH-024,Cow
1,0.950,PH-024,null
2,0.950,PH-024,Cow
3,0.950,PH-024,Cow
4,0.950,PH-024,Cw
5,0.950,PH-024,Pigeon
6,0.950,PH-024,Cow
7,0.950,PH-024,Cow
8,0.950,PH-024,Cow
1,0.980,PH-024,null
2,0.980,PH-024,Cow
3,0.980,PH-024,Cow
4,0.980,PH-024,Cw
5,0.980,PH-024,Pigeon
6,0.980,PH-024,Cow
7,0.980,PH-024,Cow
8,0.980,PH-024,Cow
1,0.990,PH-024,null
2,0.990,PH-024,null
3,0.990,PH-024,null
4,0.990,PH-024,null
5,0.990,PH-024,null
6,0.990,PH-024,null
7,0.990,PH-024,null
8,0.990,PH-024,null
1,0.000,PH-023,null
2,0.000,PH-023,Horse
3,0.000,PH-023,Horse
4,0.000,PH-023,Cow
5,0.000,PH-023,Cow
6,0.000,PH-023,Cow
7,0.000,PH-023,Cow
8,0.000,PH-023,Cow
1,0.500,PH-023,null
2,0.500,PH-023,Horse
3,0.500,PH-023,Horse
4,0.500,PH-023,Cow
5,0.500,PH-023,Cow
6,0.500,PH-023,Cow
7,0.500,PH-023,Cow
8,0.500,PH-023,Cow
1,0.900,PH-023,null
2,0.900,PH-023,Horse
3,0.900,PH-023,Horse
4,0.900,PH-023,Cow
5,0.900,PH-023,Cow
6,0.900,PH-023,Cow
7,0.900,PH-023,Cow
8,0.900,PH-023,Cow
1,0.950,PH-023,null
2,0.950,PH-023,Horse
3,0.950,PH-023,Horse
4,0.950,PH-023,Cow
5,0.950,PH-023,Cow
6,0.950,PH-023,Cow
7,0.950,PH-023,Cow
8,0.950,PH-023,Cow
1,0.980,PH-023,null
2,0.980,PH-023,Horse
3,0.980,PH-023,Horse
4,0.980,PH-023,Cow
5,0.980,PH-023,Cow
6,0.980,PH-023,Cow
7,0.980,PH-023,Cow
8,0.980,PH-023,Cow
1,0.990,PH-023,null
2,0.990,PH-023,Horse
3,0.990,PH-023,Horse
4,0.990,PH-023,Cow
5,0.990,PH-023,Cow
6,0.990,PH-023,Cow
7,0.990,PH-023,Cow
8,0.990,PH-023,Cow
1,0.000,PH-022,null
2,0.000,PH-022,Pigeon
3,0.000,PH-022,Cow
4,0.000,PH-022,Horse
5,0.000,PH-022,Cow
6,0.000,PH-022,Cow
7,0.000,PH-022,Cow
8,0.000,PH-022,Cow
1,0.500,PH-022,null
2,0.500,PH-022,Pigeon
3,0.500,PH-022,Cow
4,0.500,PH-022,Horse
5,0.500,PH-022,Cow
6,0.500,PH-022,Cow
7,0.500,PH-022,Cow
8,0.500,PH-022,Cow
1,0.900,PH-022,null
2,0.900,PH-022,Pigeon
3,0.900,PH-022,Cow
4,0.900,PH-022,Horse
5,0.900,PH-022,Cow
6,0.900,PH-022,Cow
7,0.900,PH-022,Cow
8,0.900,PH-022,Cow
1,0.950,PH-022,null
2,0.950,PH-022,Pigeon
3,0.950,PH-022,Cow
4,0.950,PH-022,Horse
5,0.950,PH-022,Cow
6,0.950,PH-022,Cow
7,0.950,PH-022,Cow
8,0.950,PH-022,Cow
1,0.980,PH-022,null
2,0.980,PH-022,Pigeon
3,0.980,PH-022,Cow
4,0.980,PH-022,Horse
5,0.980,PH-022,Cow
6,0.980,PH-022,Cow
7,0.980,PH-022,Cow
8,0.980,PH-022,Cow
1,0.990,PH-022,null
2,0.990,PH-022,Human
3,0.990,PH-022,Human
4,0.990,PH-022,Human
5,0.990,PH-022,Human
6,0.990,PH-022,Human
7,0.990,PH-022,Human
8,0.990,PH-022,Human
1,0.000,PH-021,null
2,0.000,PH-021,Pigeon
3,0.000,PH-021,Pigeon
4,0.000,PH-021,Pigeon
5,0.000,PH-021,Pigeon
6,0.000,PH-021,Pigeon
7,0.000,PH-021,Cow
8,0.000,PH-021,Cow
1,0.500,PH-021,null
2,0.500,PH-021,Pigeon
3,0.500,PH-021,Pigeon
4,0.500,PH-021,Pigeon
5,0.500,PH-021,Pigeon
6,0.500,PH-021,Pigeon
7,0.500,PH-021,Cow
8,0.500,PH-021,Cow
1,0.900,PH-021,null
2,0.900,PH-021,Pigeon
3,0.900,PH-021,Pigeon
4,0.900,PH-021,Pigeon
5,0.900,PH-021,Pigeon
6,0.900,PH-021,Pigeon
7,0.900,PH-021,Cow
8,0.900,PH-021,Cow
1,0.950,PH-021,null
2,0.950,PH-021,Pigeon
3,0.950,PH-021,Pigeon
4,0.950,PH-021,Pigeon
5,0.950,PH-021,Pigeon
6,0.950,PH-021,Pigeon
7,0.950,PH-021,Cow
8,0.950,PH-021,Cow
1,0.980,PH-021,null
2,0.980,PH-021,Pigeon
3,0.980,PH-021,Pigeon
