k,alpha,isoId,classification
5,0.500,PH-017,Cow
6,0.500,PH-017,Cow
7,0.500,PH-017,Cow
8,0.500,PH-017,Cow
1,0.900,PH-017,null
2,0.900,PH-017,null
3,0.900,PH-017,null
4,0.900,PH-017,null
5,0.900,PH-017,null
6,0.900,PH-017,null
7,0.900,PH-017,null
8,0.900,PH-017,null
1,0.950,PH-017,null
2,0.950,PH-017,null
3,0.950,PH-017,null
4,0.950,PH-017,null
5,0.950,PH-017,null
6,0.950,PH-017,null
7,0.950,PH-017,null
8,0.950,PH-017,null
1,0.980,PH-017,null
2,0.980,PH-017,null
3,0.980,PH-017,null
4,0.980,PH-017,null
5,0.980,PH-017,null
6,0.980,PH-017,null
7,0.980,PH-017,null
8,0.980,PH-017,null
1,0.990,PH-017,null
2,0.990,PH-017,null
3,0.990,PH-017,null
4,0.990,PH-017,null
5,0.990,PH-017,null
6,0.990,PH-017,null
7,0.990,PH-017,null
8,0.990,PH-017,null
1,0.000,PH-016,null
2,0.000,PH-016,Cow
3,0.000,PH-016,Cow
4,0.000,PH-016,Cow
5,0.000,PH-016,Cow
6,0.000,PH-016,Cow
7,0.000,PH-016,Cow
8,0.000,PH-016,Cow
1,0.500,PH-016,null
2,0.500,PH-016,Cow
3,0.500,PH-016,Cow
4,0.500,PH-016,Cow
5,0.500,PH-016,Cow
6,0.500,PH-016,Cow
7,0.500,PH-016,Cow
8,0.500,PH-016,Cow
1,0.900,PH-016,null
2,0.900,PH-016,null
3,0.900,PH-016,null
4,0.900,PH-016,null
5,0.900,PH-016,null
6,0.900,PH-016,null
7,0.900,PH-016,null
8,0.900,PH-016,null
1,0.950,PH-016,null
2,0.950,PH-016,null
3,0.950,PH-016,null
4,0.950,PH-016,null
5,0.950,PH-016,null
6,0.950,PH-016,null
7,0.950,PH-016,null
8,0.950,PH-016,null
1,0.980,PH-016,null
2,0.980,PH-016,null
3,0.980,PH-016,null
4,0.980,PH-016,null
5,0.980,PH-016,null
6,0.980,PH-016,null
7,0.980,PH-016,null
8,0.980,PH-016,null
1,0.990,PH-016,null
2,0.990,PH-016,null
3,0.990,PH-016,null
4,0.990,PH-016,null
5,0.990,PH-016,null
6,0.990,PH-016,null
7,0.990,PH-016,null
8,0.990,PH-016,null
1,0.000,PH-026,null
2,0.000,PH-026,Cow
3,0.000,PH-026,Cow
4,0.000,PH-026,Cow
5,0.000,PH-026,Cow
6,0.000,PH-026,Cow
7,0.000,PH-026,Cow
8,0.000,PH-026,Cow
1,0.500,PH-026,null
2,0.500,PH-026,Cow
3,0.500,PH-026,Cow
4,0.500,PH-026,Cow
5,0.500,PH-026,Cow
6,0.500,PH-026,Cow
7,0.500,PH-026,Cow
8,0.500,PH-026,Cow
1,0.900,PH-026,null
2,0.900,PH-026,null
3,0.900,PH-026,null
4,0.900,PH-026,null
5,0.900,PH-026,null
6,0.900,PH-026,null
7,0.900,PH-026,null
8,0.900,PH-026,null
1,0.950,PH-026,null
2,0.950,PH-026,null
3,0.950,PH-026,null
4,0.950,PH-026,null
5,0.950,PH-026,null
6,0.950,PH-026,null
7,0.950,PH-026,null
8,0.950,PH-026,null
1,0.980,PH-026,null
2,0.980,PH-026,null
3,0.980,PH-026,null
4,0.980,PH-026,null
5,0.980,PH-026,null
6,0.980,PH-026,null
7,0.980,PH-026,null
8,0.980,PH-026,null
1,0.990,PH-026,null
2,0.990,PH-026,null
3,0.990,PH-026,null
4,0.990,PH-026,null
