k,alpha,unknownId,classification,pearson,isoId,species
8,0.980,PH-2,Human UTI(3)(3.000000),0.995,Hu-1883,Human UTI
8,0.980,PH-2,Human UTI(3)(3.000000),0.990,Cw-1311,Cow
8,0.980,PH-2,Human UTI(3)(3.000000),0.995,Hu-1884,Human UTI
8,0.980,PH-2,Human UTI(3)(3.000000),0.990,Pp-099,Hu and Cw
8,0.980,PH-2,Human UTI(3)(3.000000),0.993,Hu-1574,Human
8,0.980,PH-2,Human UTI(3)(3.000000),0.989,Rt-156,Ground Squirrel
8,0.980,PH-2,Human UTI(3)(3.000000),0.992,Ho-049,Horse
8,0.980,PH-2,Human UTI(3)(3.000000),0.989,Ho-017,Horse
8,0.980,PH-2,Human UTI(3)(3.000000),0.992,Hu-1575,Human
8,0.980,PH-2,Human UTI(3)(3.000000),0.988,Pp-141,Cw
8,0.980,PH-2,Human UTI(3)(3.000000),0.992,Hu-1821,Human UTI
8,0.980,PH-2,Human UTI(3)(3.000000),0.988,Rt-153,Ground Squirrel
8,0.980,PH-2,Human UTI(3)(3.000000),0.992,Pg-054,Pigeon
8,0.980,PH-2,Human UTI(3)(3.000000),0.988,Cw-1730,Cow
8,0.980,PH-2,Human UTI(3)(3.000000),0.992,Op-004,Opossum
8,0.980,PH-2,Human UTI(3)(3.000000),0.987,Pp-131,Cw
