k,alpha,unknownId,classification,pearson,isoId,species
3,0.990,PH-2,Human UTI(2)(1.500000),0.995,Hu-1883,Human UTI
3,0.990,PH-2,Human UTI(2)(1.500000),0.990,Cw-1311,Cow
3,0.990,PH-2,Human UTI(2)(1.500000),0.995,Hu-1884,Human UTI
3,0.990,PH-2,Human UTI(2)(1.500000),0.993,Hu-1574,Human
