1,0.500,Bat,16-23,36,7,0,43,0.837,0.837,	1,0.500,Bat,16-23,36,1,0,37,0.973,0.973,
2,0.500,Bat,16-23,36,11,0,47,0.766,0.766,	2,0.500,Bat,16-23,36,1,0,37,0.973,0.973,
3,0.500,Bat,16-23,36,11,0,47,0.766,0.766,	3,0.500,Bat,16-23,36,1,0,37,0.973,0.973,
4,0.500,Bat,16-23,36,16,0,52,0.692,0.692,	4,0.500,Bat,16-23,36,1,0,37,0.973,0.973,
5,0.500,Bat,16-23,36,16,0,52,0.692,0.692,	5,0.500,Bat,16-23,36,1,0,37,0.973,0.973,
6,0.500,Bat,16-23,36,22,0,58,0.621,0.621,	6,0.500,Bat,16-23,36,1,0,37,0.973,0.973,
7,0.500,Bat,16-23,36,21,0,57,0.632,0.632,	7,0.500,Bat,16-23,36,1,0,37,0.973,0.973,
8,0.500,Bat,16-23,36,23,0,59,0.610,0.610,	8,0.500,Bat,16-23,36,1,0,37,0.973,0.973,
9,0.500,Bat,16-23,36,28,0,64,0.563,0.563,	9,0.500,Bat,16-23,36,1,0,37,0.973,0.973,
10,0.500,Bat,16-23,36,31,0,67,0.537,0.537,	10,0.500,Bat,16-23,36,1,0,37,0.973,0.973,
11,0.500,Bat,16-23,36,32,0,68,0.529,0.529,	11,0.500,Bat,16-23,36,1,0,37,0.973,0.973,
12,0.500,Bat,16-23,36,35,0,71,0.507,0.507,	12,0.500,Bat,16-23,36,1,0,37,0.973,0.973,
13,0.500,Bat,16-23,36,35,0,71,0.507,0.507,	13,0.500,Bat,16-23,36,1,0,37,0.973,0.973,
14,0.500,Bat,16-23,36,36,0,72,0.500,0.500,	14,0.500,Bat,16-23,36,1,0,37,0.973,0.973,
15,0.500,Bat,16-23,36,38,0,74,0.486,0.486,	15,0.500,Bat,16-23,36,1,0,37,0.973,0.973,
16,0.500,Bat,16-23,36,37,0,73,0.493,0.493,	16,0.500,Bat,16-23,36,1,0,37,0.973,0.973,
17,0.500,Bat,16-23,36,38,0,74,0.486,0.486,	17,0.500,Bat,16-23,36,1,0,37,0.973,0.973,
