1,0.990,Bat,23-5,37,17,0,54,0.685,0.685,	1,0.990,Bat,23-5,37,1,0,38,0.974,0.974,
2,0.990,Bat,23-5,37,19,0,56,0.661,0.661,	2,0.990,Bat,23-5,37,1,0,38,0.974,0.974,
3,0.990,Bat,23-5,37,18,0,55,0.673,0.673,	3,0.990,Bat,23-5,37,1,0,38,0.974,0.974,
4,0.990,Bat,23-5,37,24,0,61,0.607,0.607,	4,0.990,Bat,23-5,37,1,0,38,0.974,0.974,
5,0.990,Bat,23-5,37,21,0,58,0.638,0.638,	5,0.990,Bat,23-5,37,1,0,38,0.974,0.974,
6,0.990,Bat,23-5,37,22,0,59,0.627,0.627,	6,0.990,Bat,23-5,37,1,0,38,0.974,0.974,
7,0.990,Bat,23-5,37,27,0,64,0.578,0.578,	7,0.990,Bat,23-5,37,1,0,38,0.974,0.974,
8,0.990,Bat,23-5,37,26,0,63,0.587,0.587,	8,0.990,Bat,23-5,37,1,0,38,0.974,0.974,
9,0.990,Bat,23-5,37,26,0,63,0.587,0.587,	9,0.990,Bat,23-5,37,1,0,38,0.974,0.974,
10,0.990,Bat,23-5,37,31,0,68,0.544,0.544,	10,0.990,Bat,23-5,37,1,0,38,0.974,0.974,
11,0.990,Bat,23-5,37,33,0,70,0.529,0.529,	11,0.990,Bat,23-5,37,1,0,38,0.974,0.974,
12,0.990,Bat,23-5,37,34,0,71,0.521,0.521,	12,0.990,Bat,23-5,37,1,0,38,0.974,0.974,
13,0.990,Bat,23-5,37,34,0,71,0.521,0.521,	13,0.990,Bat,23-5,37,1,0,38,0.974,0.974,
14,0.990,Bat,23-5,37,34,0,71,0.521,0.521,	14,0.990,Bat,23-5,37,1,0,38,0.974,0.974,
15,0.990,Bat,23-5,37,36,0,73,0.507,0.507,	15,0.990,Bat,23-5,37,1,0,38,0.974,0.974,
16,0.990,Bat,23-5,37,38,0,75,0.493,0.493,	16,0.990,Bat,23-5,37,1,0,38,0.974,0.974,
17,0.990,Bat,23-5,37,39,0,76,0.487,0.487,	17,0.990,Bat,23-5,37,1,0,38,0.974,0.974,
