1,0.990,Bat,16-23,36,7,0,43,0.837,0.837,	1,0.990,Bat,16-23,36,1,0,37,0.973,0.973,
2,0.990,Bat,16-23,36,11,0,47,0.766,0.766,	2,0.990,Bat,16-23,36,1,0,37,0.973,0.973,
3,0.990,Bat,16-23,36,11,0,47,0.766,0.766,	3,0.990,Bat,16-23,36,1,0,37,0.973,0.973,
4,0.990,Bat,16-23,36,16,0,52,0.692,0.692,	4,0.990,Bat,16-23,36,1,0,37,0.973,0.973,
5,0.990,Bat,16-23,36,15,0,51,0.706,0.706,	5,0.990,Bat,16-23,36,1,0,37,0.973,0.973,
6,0.990,Bat,16-23,36,21,0,57,0.632,0.632,	6,0.990,Bat,16-23,36,1,0,37,0.973,0.973,
7,0.990,Bat,16-23,36,20,0,56,0.643,0.643,	7,0.990,Bat,16-23,36,1,0,37,0.973,0.973,
8,0.990,Bat,16-23,36,22,0,58,0.621,0.621,	8,0.990,Bat,16-23,36,1,0,37,0.973,0.973,
9,0.990,Bat,16-23,36,26,0,62,0.581,0.581,	9,0.990,Bat,16-23,36,1,0,37,0.973,0.973,
10,0.990,Bat,16-23,36,29,0,65,0.554,0.554,	10,0.990,Bat,16-23,36,1,0,37,0.973,0.973,
11,0.990,Bat,16-23,36,29,0,65,0.554,0.554,	11,0.990,Bat,16-23,36,1,0,37,0.973,0.973,
12,0.990,Bat,16-23,36,31,0,67,0.537,0.537,	12,0.990,Bat,16-23,36,1,0,37,0.973,0.973,
13,0.990,Bat,16-23,36,31,0,67,0.537,0.537,	13,0.990,Bat,16-23,36,1,0,37,0.973,0.973,
14,0.990,Bat,16-23,36,32,0,68,0.529,0.529,	14,0.990,Bat,16-23,36,1,0,37,0.973,0.973,
15,0.990,Bat,16-23,36,33,0,69,0.522,0.522,	15,0.990,Bat,16-23,36,1,0,37,0.973,0.973,
16,0.990,Bat,16-23,36,33,0,69,0.522,0.522,	16,0.990,Bat,16-23,36,1,0,37,0.973,0.973,
17,0.990,Bat,16-23,36,34,0,70,0.514,0.514,	17,0.990,Bat,16-23,36,1,0,37,0.973,0.973,
