k,alpha,unknownId,classification,pearson,isoId,species
6,0.000,PH-020,Human(5)(3.800000),0.994,Hu-2006,Human
6,0.000,PH-020,Human(5)(3.800000),0.982,Cw-1593,Cow
6,0.000,PH-020,Human(5)(3.800000),0.994,Cw-1271,Cow
6,0.000,PH-020,Human(5)(3.800000),0.982,Pg-078,Pigeon
6,0.000,PH-020,Human(5)(3.800000),0.994,Hu-2003,Human
6,0.000,PH-020,Human(5)(3.800000),0.981,Pg-075,Pigeon
6,0.000,PH-020,Human(5)(3.800000),0.993,Hu-1994,Human
6,0.000,PH-020,Human(5)(3.800000),0.981,Pg-076,Pigeon
6,0.000,PH-020,Human(5)(3.800000),0.993,Hu-2005,Human
6,0.000,PH-020,Human(5)(3.800000),0.980,Pg-077,Pigeon
6,0.000,PH-020,Human(5)(3.800000),0.993,Hu-2002,Human
6,0.000,PH-020,Human(5)(3.800000),0.980,Cw-1282,Cow
