k,alpha,unknownId,classification,pearson,isoId,species
8,0.980,PH-016,Human(5)(5.200000),0.992,Cw-1271,Cow
8,0.980,PH-016,Human(5)(5.200000),0.983,Cw-1593,Cow
8,0.980,PH-016,Human(5)(5.200000),0.991,Hu-2006,Human
8,0.980,PH-016,Human(5)(5.200000),0.982,Pg-078,Pigeon
8,0.980,PH-016,Human(5)(5.200000),0.990,Hu-2003,Human
8,0.980,PH-016,Human(5)(5.200000),0.981,Pg-075,Pigeon
8,0.980,PH-016,Human(5)(5.200000),0.990,Cw-1277,Cow
8,0.980,PH-016,Human(5)(5.200000),0.980,Pg-076,Pigeon
8,0.980,PH-016,Human(5)(5.200000),0.990,Cw-1327,Cow
8,0.980,PH-016,Human(5)(5.200000),0.990,Hu-1994,Human
8,0.980,PH-016,Human(5)(5.200000),0.990,Hu-2005,Human
8,0.980,PH-016,Human(5)(5.200000),0.989,Hu-2002,Human
