k,alpha,unknownId,classification,pearson,isoId,species
6,0.500,PH-013,Human(4)(3.500000),0.992,Pp-126,Cw
6,0.500,PH-013,Human(4)(3.500000),0.992,Cw-1271,Cow
6,0.500,PH-013,Human(4)(3.500000),0.992,Ho-010,Horse
6,0.500,PH-013,Human(4)(3.500000),0.991,Hu-2006,Human
6,0.500,PH-013,Human(4)(3.500000),0.991,Ho-018,Horse
6,0.500,PH-013,Human(4)(3.500000),0.990,Hu-2003,Human
6,0.500,PH-013,Human(4)(3.500000),0.991,Cw-1534,Cow
6,0.500,PH-013,Human(4)(3.500000),0.990,Hu-1994,Human
6,0.500,PH-013,Human(4)(3.500000),0.990,Cw-1053,Cow
6,0.500,PH-013,Human(4)(3.500000),0.989,Hu-2002,Human
6,0.500,PH-013,Human(4)(3.500000),0.990,Pg-078,Pigeon
6,0.500,PH-013,Human(4)(3.500000),0.989,Cw-1327,Cow
