k,alpha,unknownId,classification,pearson,isoId,species
5,0.000,PH-2,Human UTI(2)(1.500000),0.995,Hu-1883,Human UTI
5,0.000,PH-2,Human UTI(2)(1.500000),0.990,Cw-1311,Cow
5,0.000,PH-2,Human UTI(2)(1.500000),0.995,Hu-1884,Human UTI
5,0.000,PH-2,Human UTI(2)(1.500000),0.990,Pp-099,Hu and Cw
5,0.000,PH-2,Human UTI(2)(1.500000),0.993,Hu-1574,Human
5,0.000,PH-2,Human UTI(2)(1.500000),0.989,Rt-156,Ground Squirrel
5,0.000,PH-2,Human UTI(2)(1.500000),0.992,Ho-049,Horse
5,0.000,PH-2,Human UTI(2)(1.500000),0.989,Ho-017,Horse
5,0.000,PH-2,Human UTI(2)(1.500000),0.992,Hu-1575,Human
5,0.000,PH-2,Human UTI(2)(1.500000),0.988,Pp-141,Cw
