k,alpha,unknownId,classification,pearson,isoId,species
5,0.900,PH-012,Human UTI(2)(1.500000),0.987,Cw-1311,Cow
5,0.900,PH-012,Human UTI(2)(1.500000),0.978,Hu-1883,Human UTI
5,0.900,PH-012,Human UTI(2)(1.500000),0.987,Pp-099,Hu and Cw
5,0.900,PH-012,Human UTI(2)(1.500000),0.977,Hu-1884,Human UTI
5,0.900,PH-012,Human UTI(2)(1.500000),0.986,Rt-156,Ground Squirrel
5,0.900,PH-012,Human UTI(2)(1.500000),0.977,Hu-1574,Human
5,0.900,PH-012,Human UTI(2)(1.500000),0.985,Cw-1730,Cow
5,0.900,PH-012,Human UTI(2)(1.500000),0.976,Hu-1575,Human
5,0.900,PH-012,Human UTI(2)(1.500000),0.985,Pp-141,Cw
5,0.900,PH-012,Human UTI(2)(1.500000),0.975,Ho-049,Horse
