k,alpha,unknownId,classification,pearson,isoId,species
6,0.990,PH-019,Cow(4)(2.250000),0.994,Cw-1271,Cow
6,0.990,PH-019,Cow(4)(2.250000),0.992,Cw-1593,Cow
6,0.990,PH-019,Cow(4)(2.250000),0.992,Hu-2006,Human
6,0.990,PH-019,Cow(4)(2.250000),0.991,Pg-078,Pigeon
6,0.990,PH-019,Cow(4)(2.250000),0.992,Cw-1327,Cow
6,0.990,PH-019,Cow(4)(2.250000),0.990,Ho-010,Horse
6,0.990,PH-019,Cow(4)(2.250000),0.992,Cw-1277,Cow
6,0.990,PH-019,Cow(4)(2.250000),0.990,Pp-126,Cw
6,0.990,PH-019,Cow(4)(2.250000),0.992,Hu-2003,Human
6,0.990,PH-019,Cow(4)(2.250000),0.991,Hu-2002,Human
