k,alpha,isoId,classification
6,0.000,PH-4,Cow
7,0.000,PH-4,Cow
8,0.000,PH-4,Cow
1,0.500,PH-4,null
2,0.500,PH-4,Cow
3,0.500,PH-4,Cow
4,0.500,PH-4,Cow
5,0.500,PH-4,Cow
6,0.500,PH-4,Cow
7,0.500,PH-4,Cow
8,0.500,PH-4,Cow
1,0.900,PH-4,null
2,0.900,PH-4,Cow
3,0.900,PH-4,Cow
4,0.900,PH-4,Cow
5,0.900,PH-4,Cow
6,0.900,PH-4,Cow
7,0.900,PH-4,Cow
8,0.900,PH-4,Cow
1,0.950,PH-4,null
2,0.950,PH-4,Cow
3,0.950,PH-4,Cow
4,0.950,PH-4,Cow
5,0.950,PH-4,Cow
6,0.950,PH-4,Cow
7,0.950,PH-4,Cow
8,0.950,PH-4,Cow
1,0.980,PH-4,null
2,0.980,PH-4,null
3,0.980,PH-4,null
4,0.980,PH-4,null
5,0.980,PH-4,null
6,0.980,PH-4,null
7,0.980,PH-4,null
8,0.980,PH-4,null
1,0.990,PH-4,null
2,0.990,PH-4,null
3,0.990,PH-4,null
4,0.990,PH-4,null
5,0.990,PH-4,null
6,0.990,PH-4,null
7,0.990,PH-4,null
8,0.990,PH-4,null
1,0.000,PH-3,null
2,0.000,PH-3,Cow
3,0.000,PH-3,Cow
4,0.000,PH-3,Cow
5,0.000,PH-3,Cow
6,0.000,PH-3,Cow
7,0.000,PH-3,Cow
8,0.000,PH-3,Cow
1,0.500,PH-3,null
2,0.500,PH-3,Cow
3,0.500,PH-3,Cow
4,0.500,PH-3,Cow
5,0.500,PH-3,Cow
6,0.500,PH-3,Cow
7,0.500,PH-3,Cow
8,0.500,PH-3,Cow
1,0.900,PH-3,null
2,0.900,PH-3,Cow
3,0.900,PH-3,Cow
4,0.900,PH-3,Cow
5,0.900,PH-3,Cow
6,0.900,PH-3,Cow
7,0.900,PH-3,Cow
8,0.900,PH-3,Cow
1,0.950,PH-3,null
2,0.950,PH-3,Cow
3,0.950,PH-3,Cow
4,0.950,PH-3,Cow
5,0.950,PH-3,Cow
6,0.950,PH-3,Cow
7,0.950,PH-3,Cow
8,0.950,PH-3,Cow
1,0.980,PH-3,null
2,0.980,PH-3,Cow
3,0.980,PH-3,Cow
4,0.980,PH-3,Cow
5,0.980,PH-3,Cow
6,0.980,PH-3,Cow
7,0.980,PH-3,Cow
8,0.980,PH-3,Cow
1,0.990,PH-3,null
2,0.990,PH-3,null
3,0.990,PH-3,null
4,0.990,PH-3,null
5,0.990,PH-3,null
6,0.990,PH-3,null
7,0.990,PH-3,null
8,0.990,PH-3,null
