needed size,max k,alpha,unknownId,classification(count)(average position),pearson,isoId,species
8,120,0.950,PH-028,Cow(7)(43.285714),0.989,Cw-1277,Cow
8,120,0.950,PH-028,Cow(7)(43.285714),0.988,Cw-1534,Cow
8,120,0.950,PH-028,Cow(7)(43.285714),0.988,Cw-1377,Cow
8,120,0.950,PH-028,Cow(7)(43.285714),0.987,Cw-1278,Cow
8,120,0.950,PH-028,Cow(7)(43.285714),0.987,Cw-1378,Cow
8,120,0.950,PH-028,Cow(7)(43.285714),0.987,Ho-023,Horse
8,120,0.950,PH-028,Cow(7)(43.285714),0.983,Cw-827,Cow
8,120,0.950,PH-028,Cow(7)(43.285714),0.983,Cw-1267,Cow
