needed size,max k,alpha,unknownId,classification(count)(average position),pearson,isoId,species
8,148,0.900,PH-016,Cow(7)(51.571429),0.978,Cw-1277,Cow
8,148,0.900,PH-016,Cow(7)(51.571429),0.978,Cw-1534,Cow
8,148,0.900,PH-016,Cow(7)(51.571429),0.977,Cw-1377,Cow
8,148,0.900,PH-016,Cow(7)(51.571429),0.976,Cw-1378,Cow
8,148,0.900,PH-016,Cow(7)(51.571429),0.976,Cw-1278,Cow
8,148,0.900,PH-016,Cow(7)(51.571429),0.976,Ho-023,Horse
8,148,0.900,PH-016,Cow(7)(51.571429),0.973,Cw-1267,Cow
8,148,0.900,PH-016,Cow(7)(51.571429),0.972,Cw-827,Cow
