needed size,max k,alpha,unknownId,classification(count)(average position),pearson,isoId,species
5,97,0.980,PH-030,Cow(5)(30.000000),0.987,Cw-1277,Cow
5,97,0.980,PH-030,Cow(5)(30.000000),0.986,Cw-1278,Cow
5,97,0.980,PH-030,Cow(5)(30.000000),0.985,Cw-1377,Cow
5,97,0.980,PH-030,Cow(5)(30.000000),0.985,Cw-1534,Cow
5,97,0.980,PH-030,Cow(5)(30.000000),0.981,Cw-1267,Cow
