needed size,max k,alpha,unknownId,classification(count)(average position),pearson,isoId,species
8,168,0.900,PH-029,Cow(6)(38.833333),0.987,Cw-1534,Cow
8,168,0.900,PH-029,Cow(6)(38.833333),0.985,Cw-1277,Cow
8,168,0.900,PH-029,Cow(6)(38.833333),0.984,Ho-023,Horse
8,168,0.900,PH-029,Cow(6)(38.833333),0.983,Cw-1278,Cow
8,168,0.900,PH-029,Cow(6)(38.833333),0.983,Cw-1377,Cow
8,168,0.900,PH-029,Cow(6)(38.833333),0.982,Cw-1378,Cow
8,168,0.900,PH-029,Cow(6)(38.833333),0.979,Cw-1267,Cow
8,168,0.900,PH-029,Cow(6)(38.833333),0.979,Tk-063,Wild Turkey
