needed size,max k,alpha,unknownId,classification(count)(average position),pearson,isoId,species
5,97,0.980,PH-029,null,0.985,Cw-1277,Cow
5,97,0.980,PH-029,null,0.983,Cw-1278,Cow
5,97,0.980,PH-029,null,0.983,Cw-1377,Cow
