k,alpha,species,applied-region,Successes (# Pyroprints),Failures (# Pyroprints),NonDecisions (# Pyroprints),Total,Decision Accuracy(\%),Overall Accuracy(\%)
10,1.000,Horse,16-23,0,0,46,46,NaN,0.000
10,1.000,Horse,23-5,0,0,87,87,NaN,0.000
10,1.000,Seagull,16-23,0,0,0,0,NaN,NaN
10,1.000,Seagull,23-5,0,0,92,92,NaN,0.000
10,1.000,Dog,16-23,0,0,142,142,NaN,0.000
10,1.000,Dog,23-5,0,0,213,213,NaN,0.000
10,1.000,Human,16-23,70,0,2008,2078,100.000,3.369
10,1.000,Human,23-5,92,0,2389,2481,100.000,3.708
10,1.000,Hu and Cw,16-23,0,0,30,30,NaN,0.000
10,1.000,Hu and Cw,23-5,0,0,30,30,NaN,0.000
10,1.000,Dg,16-23,0,0,30,30,NaN,0.000
10,1.000,Dg,23-5,0,0,30,30,NaN,0.000
10,1.000,Human UTI,16-23,0,0,139,139,NaN,0.000
10,1.000,Human UTI,23-5,0,0,141,141,NaN,0.000
10,1.000,Pig/Swine,16-23,0,0,27,27,NaN,0.000
10,1.000,Pig/Swine,23-5,0,0,25,25,NaN,0.000
10,1.000,Red-Winged Blackbird,16-23,0,0,2,2,NaN,0.000
10,1.000,Red-Winged Blackbird,23-5,0,0,3,3,NaN,0.000
10,1.000,Racoon,16-23,0,0,2,2,NaN,0.000
10,1.000,Racoon,23-5,0,0,4,4,NaN,0.000
10,1.000,Wild Pig,16-23,0,0,17,17,NaN,0.000
10,1.000,Wild Pig,23-5,0,0,12,12,NaN,0.000
10,1.000,Cow,16-23,0,0,1867,1867,NaN,0.000
10,1.000,Cow,23-5,0,0,1914,1914,NaN,0.000
10,1.000,Hu,16-23,0,0,30,30,NaN,0.000
10,1.000,Hu,23-5,0,0,32,32,NaN,0.000
10,1.000,Hu Cw and Dg,16-23,0,0,30,30,NaN,0.000
10,1.000,Hu Cw and Dg,23-5,0,0,30,30,NaN,0.000
10,1.000,Hu and Dg,16-23,0,0,33,33,NaN,0.000
10,1.000,Hu and Dg,23-5,0,0,33,33,NaN,0.000
10,1.000,Pigeon,16-23,0,0,285,285,NaN,0.000
10,1.000,Pigeon,23-5,0,0,354,354,NaN,0.000
10,1.000,Deer,16-23,0,0,22,22,NaN,0.000
10,1.000,Deer,23-5,0,0,22,22,NaN,0.000
10,1.000,Pig,16-23,0,0,37,37,NaN,0.000
10,1.000,Pig,23-5,0,0,34,34,NaN,0.000
10,1.000,Bat,16-23,0,0,37,37,NaN,0.000
10,1.000,Bat,23-5,0,0,38,38,NaN,0.000
10,1.000,Ground Squirrel,16-23,0,0,202,202,NaN,0.000
10,1.000,Ground Squirrel,23-5,0,0,199,199,NaN,0.000
10,1.000,Wild Turkey,16-23,0,0,46,46,NaN,0.000
10,1.000,Wild Turkey,23-5,0,0,39,39,NaN,0.000
10,1.000,Turkey Vulture,16-23,0,0,2,2,NaN,0.000
10,1.000,Turkey Vulture,23-5,0,0,4,4,NaN,0.000
10,1.000,Cat,16-23,0,0,68,68,NaN,0.000
10,1.000,Cat,23-5,0,0,67,67,NaN,0.000
10,1.000,Sheep,16-23,0,0,112,112,NaN,0.000
10,1.000,Sheep,23-5,0,0,104,104,NaN,0.000
10,1.000,Chicken,16-23,0,0,40,40,NaN,0.000
10,1.000,Chicken,23-5,0,0,42,42,NaN,0.000
10,1.000,Opossum,16-23,0,0,6,6,NaN,0.000
10,1.000,Opossum,23-5,0,0,6,6,NaN,0.000
10,1.000,OVERALL,16-23,70,0,5383,5453,100.000,1.284
10,1.000,OVERALL,23-5,92,0,6080,6172,100.000,1.491
11,0.000,Cw and Dg,16-23,4,26,0,30,13.333,13.333
11,0.000,Cw and Dg,23-5,20,10,0,30,66.667,66.667
11,0.000,Sea Lion,16-23,0,2,0,2,0.000,0.000
11,0.000,Sea Lion,23-5,1,3,0,4,25.000,25.000
11,0.000,Cliff Sparrow,16-23,0,28,0,28,0.000,0.000
11,0.000,Cliff Sparrow,23-5,0,29,0,29,0.000,0.000
11,0.000,Great Horned Owl,16-23,0,3,0,3,0.000,0.000
11,0.000,Great Horned Owl,23-5,0,8,0,8,0.000,0.000
11,0.000,unknown,16-23,0,11,0,11,0.000,0.000
11,0.000,unknown,23-5,0,11,0,11,0.000,0.000
11,0.000,White Crowned Sparrow,16-23,0,15,0,15,0.000,0.000
11,0.000,White Crowned Sparrow,23-5,0,15,0,15,0.000,0.000
11,0.000,Common Loon,16-23,0,2,0,2,0.000,0.000
11,0.000,Common Loon,23-5,0,4,0,4,0.000,0.000
11,0.000,Cw,16-23,21,9,0,30,70.000,70.000
11,0.000,Cw,23-5,24,7,0,31,77.419,77.419
11,0.000,Red Tailed Hawk,16-23,0,2,0,2,0.000,0.000
11,0.000,Red Tailed Hawk,23-5,0,4,0,4,0.000,0.000
11,0.000,Horse,16-23,3,43,0,46,6.522,6.522
11,0.000,Horse,23-5,23,64,0,87,26.437,26.437
11,0.000,Seagull,16-23,0,0,0,0,NaN,NaN
11,0.000,Seagull,23-5,62,30,0,92,67.391,67.391
11,0.000,Dog,16-23,54,88,0,142,38.028,38.028
11,0.000,Dog,23-5,109,104,0,213,51.174,51.174
11,0.000,Human,16-23,1893,185,0,2078,91.097,91.097
11,0.000,Human,23-5,2325,156,0,2481,93.712,93.712
11,0.000,Hu and Cw,16-23,20,10,0,30,66.667,66.667
11,0.000,Hu and Cw,23-5,15,15,0,30,50.000,50.000
11,0.000,Dg,16-23,6,24,0,30,20.000,20.000
11,0.000,Dg,23-5,28,2,0,30,93.333,93.333
11,0.000,Human UTI,16-23,75,64,0,139,53.957,53.957
11,0.000,Human UTI,23-5,100,41,0,141,70.922,70.922
11,0.000,Pig/Swine,16-23,5,22,0,27,18.519,18.519
11,0.000,Pig/Swine,23-5,8,17,0,25,32.000,32.000
11,0.000,Red-Winged Blackbird,16-23,0,2,0,2,0.000,0.000
11,0.000,Red-Winged Blackbird,23-5,0,3,0,3,0.000,0.000
11,0.000,Racoon,16-23,0,2,0,2,0.000,0.000
11,0.000,Racoon,23-5,0,4,0,4,0.000,0.000
11,0.000,Wild Pig,16-23,1,16,0,17,5.882,5.882
11,0.000,Wild Pig,23-5,1,11,0,12,8.333,8.333
11,0.000,Cow,16-23,1616,251,0,1867,86.556,86.556
11,0.000,Cow,23-5,1643,271,0,1914,85.841,85.841
11,0.000,Hu,16-23,23,7,0,30,76.667,76.667
11,0.000,Hu,23-5,23,9,0,32,71.875,71.875
11,0.000,Hu Cw and Dg,16-23,18,12,0,30,60.000,60.000
11,0.000,Hu Cw and Dg,23-5,13,17,0,30,43.333,43.333
11,0.000,Hu and Dg,16-23,19,14,0,33,57.576,57.576
11,0.000,Hu and Dg,23-5,19,14,0,33,57.576,57.576
11,0.000,Pigeon,16-23,93,192,0,285,32.632,32.632
11,0.000,Pigeon,23-5,159,195,0,354,44.915,44.915
11,0.000,Deer,16-23,14,8,0,22,63.636,63.636
11,0.000,Deer,23-5,15,7,0,22,68.182,68.182
11,0.000,Pig,16-23,7,30,0,37,18.919,18.919
11,0.000,Pig,23-5,4,30,0,34,11.765,11.765
11,0.000,Bat,16-23,36,1,0,37,97.297,97.297
11,0.000,Bat,23-5,37,1,0,38,97.368,97.368
11,0.000,Ground Squirrel,16-23,96,106,0,202,47.525,47.525
11,0.000,Ground Squirrel,23-5,84,115,0,199,42.211,42.211
11,0.000,Wild Turkey,16-23,2,44,0,46,4.348,4.348
11,0.000,Wild Turkey,23-5,0,39,0,39,0.000,0.000
11,0.000,Turkey Vulture,16-23,0,2,0,2,0.000,0.000
11,0.000,Turkey Vulture,23-5,0,4,0,4,0.000,0.000
11,0.000,Cat,16-23,17,51,0,68,25.000,25.000
11,0.000,Cat,23-5,25,42,0,67,37.313,37.313
11,0.000,Sheep,16-23,57,55,0,112,50.893,50.893
11,0.000,Sheep,23-5,53,51,0,104,50.962,50.962
11,0.000,Chicken,16-23,0,40,0,40,0.000,0.000
11,0.000,Chicken,23-5,8,34,0,42,19.048,19.048
11,0.000,Opossum,16-23,0,6,0,6,0.000,0.000
11,0.000,Opossum,23-5,0,6,0,6,0.000,0.000
11,0.000,OVERALL,16-23,4080,1373,0,5453,74.821,74.821
11,0.000,OVERALL,23-5,4799,1373,0,6172,77.754,77.754
11,0.500,Cw and Dg,16-23,4,26,0,30,13.333,13.333
11,0.500,Cw and Dg,23-5,20,10,0,30,66.667,66.667
11,0.500,Sea Lion,16-23,0,2,0,2,0.000,0.000
11,0.500,Sea Lion,23-5,1,3,0,4,25.000,25.000
11,0.500,Cliff Sparrow,16-23,0,28,0,28,0.000,0.000
11,0.500,Cliff Sparrow,23-5,0,29,0,29,0.000,0.000
11,0.500,Great Horned Owl,16-23,0,3,0,3,0.000,0.000
11,0.500,Great Horned Owl,23-5,0,8,0,8,0.000,0.000
11,0.500,unknown,16-23,0,11,0,11,0.000,0.000
11,0.500,unknown,23-5,0,11,0,11,0.000,0.000
11,0.500,White Crowned Sparrow,16-23,0,15,0,15,0.000,0.000
11,0.500,White Crowned Sparrow,23-5,0,15,0,15,0.000,0.000
11,0.500,Common Loon,16-23,0,2,0,2,0.000,0.000
11,0.500,Common Loon,23-5,0,4,0,4,0.000,0.000
11,0.500,Cw,16-23,21,9,0,30,70.000,70.000
11,0.500,Cw,23-5,24,7,0,31,77.419,77.419
11,0.500,Red Tailed Hawk,16-23,0,2,0,2,0.000,0.000
11,0.500,Red Tailed Hawk,23-5,0,4,0,4,0.000,0.000
11,0.500,Horse,16-23,3,43,0,46,6.522,6.522
