k,alpha,species,applied-region,Successes (# Pyroprints),Failures (# Pyroprints),NonDecisions (# Pyroprints),Total,Decision Accuracy(\%),Overall Accuracy(\%),
1,0.000,SLO Creek Water,23-5,6,1326,0,1332,0.450,0.450,
1,0.000,Pig/Swine,16-23,15,11,0,26,57.692,57.692,
1,0.000,Pig/Swine,23-5,13,12,0,25,52.000,52.000,
1,0.000,Klebsiella,16-23,0,0,0,0,NaN,NaN,
1,0.000,Klebsiella,23-5,0,0,0,0,NaN,NaN,
1,0.000,Hu Cw and Dg,16-23,10,20,0,30,33.333,33.333,
1,0.000,Hu Cw and Dg,23-5,20,10,0,30,66.667,66.667,
1,0.000,Ground Squirrel,16-23,114,60,0,174,65.517,65.517,
1,0.000,Ground Squirrel,23-5,116,61,0,177,65.537,65.537,
1,0.000,Opossum,16-23,4,2,0,6,66.667,66.667,
1,0.000,Opossum,23-5,5,1,0,6,83.333,83.333,
1,0.000,Cow,16-23,1574,215,0,1789,87.982,87.982,
1,0.000,Cow,23-5,1561,218,0,1779,87.746,87.746,
1,0.000,Deer Mouse,16-23,0,2,0,2,0.000,0.000,
1,0.000,Deer Mouse,23-5,0,2,0,2,0.000,0.000,
1,0.000,OVERALL,16-23,4196,2152,0,6348,66.100,66.100,
1,0.000,OVERALL,23-5,4816,2794,0,7610,63.285,63.285,
1,0.500,Chicken,16-23,22,18,0,40,55.000,55.000,
1,0.500,Chicken,23-5,28,14,0,42,66.667,66.667,
1,0.500,Sea Lion,16-23,1,1,0,2,50.000,50.000,
1,0.500,Sea Lion,23-5,4,0,0,4,100.000,100.000,
1,0.500,Hu and Cw,16-23,17,13,0,30,56.667,56.667,
1,0.500,Hu and Cw,23-5,14,16,0,30,46.667,46.667,
1,0.500,Sheep,16-23,78,26,0,104,75.000,75.000,
1,0.500,Sheep,23-5,78,20,0,98,79.592,79.592,
1,0.500,Hu and Dg,16-23,19,13,0,32,59.375,59.375,
1,0.500,Hu and Dg,23-5,20,10,0,30,66.667,66.667,
1,0.500,Common Loon,16-23,2,0,0,2,100.000,100.000,
1,0.500,Common Loon,23-5,0,2,0,2,0.000,0.000,
1,0.500,Red-Winged Blackbird,16-23,2,0,0,2,100.000,100.000,
1,0.500,Red-Winged Blackbird,23-5,2,0,0,2,100.000,100.000,
1,0.500,Cw,16-23,17,13,0,30,56.667,56.667,
1,0.500,Cw,23-5,20,10,0,30,66.667,66.667,
1,0.500,Cliff Sparrow,16-23,16,12,0,28,57.143,57.143,
1,0.500,Cliff Sparrow,23-5,10,19,0,29,34.483,34.483,
1,0.500,Pig,16-23,21,16,0,37,56.757,56.757,
1,0.500,Pig,23-5,20,14,0,34,58.824,58.824,
1,0.500,Barn Owl,16-23,0,0,0,0,NaN,NaN,
1,0.500,Barn Owl,23-5,2,0,0,2,100.000,100.000,
1,0.500,Wild Pig,16-23,6,11,0,17,35.294,35.294,
1,0.500,Wild Pig,23-5,6,4,0,10,60.000,60.000,
1,0.500,Pennington Creek Water,16-23,0,345,0,345,0.000,0.000,
1,0.500,Pennington Creek Water,23-5,0,465,0,465,0.000,0.000,
