 4,    2,    0,    2,Clark Grebe
 5,   57,    0,   57,Cliff Sparrow
 6,    4,    2,    6,Common Loon
 7, 3568,  213, 3781,Cow
 8,   60,    1,   61,Cw
 9,   60,    0,   60,Cw and Dg
10,   43,    1,   44,Deer
11,    4,    0,    4,Deer Mouse
12,   60,    0,   60,Dg
13,  327,   28,  355,Dog
14,    4,    0,    4,Eared Grebe
15,    4,    0,    4,Freshwater Lagoon
16,   10,    1,   11,Great Horned Owl
17,  351,   50,  401,Ground Squirrel
18,    2,    0,    2,Guinni
19,  133,    0,  133,Horse
20,   60,    2,   62,Hu
21,   60,    0,   60,Hu Cw and Dg
22,   60,    0,   60,Hu and Cw
23,   62,    4,   66,Hu and Dg
24, 4203,  356, 4559,Human
25,  280,    0,  280,Human UTI
26,    0,    2,    2,Klebsiella
27,   10,    0,   10,Ocean Water
28,   12,    0,   12,Opossum
29,   96,    1,   97,Pacific Ocean Water
30,  810,   58,  868,Pennington Creek Water
31,   71,    0,   71,Pig
32,   51,    1,   52,Pig/Swine
33,  531,  108,  639,Pigeon
34,    5,    1,    6,Racoon
35,    5,    1,    6,Red Tailed Hawk
36,    4,    0,    4,Red Wind Blackbird
37,    4,    1,    5,Red-Winged Blackbird
38, 2208,  173, 2381,SLO Creek Water
39,    6,    0,    6,Sea Lion
40,   67,   25,   92,Seagull
41,  202,   14,  216,Sheep
42,    2,    0,    2,Surf Scoter
43,    4,    0,    4,Tree Swallow
44,    5,    1,    6,Turkey Vulture
45,    4,    0,    4,Unknown Avian
46,    4,    0,    4,Western Kingbird
47,   30,    0,   30,White Crowned Sparrow
48,   27,    2,   29,Wild Pig
49,   85,    0,   85,Wild Turkey
50,    2,    1,    3,cougar
51,    2,    1,    3,orangutan
52,   22,    0,   22,unknown

t 4203	  356	 4559	Human
t 3568	  213	 3781	Cow
t 2208	  173	 2381	SLO Creek Water
t  810	   58	  868	Pennington Creek Water
t  531	  108	  639	Pigeon
t  351	   50	  401	Ground Squirrel
t  327	   28	  355	Dog
t  280	    0	  280	Human UTI
t  202	   14	  216	Sheep
t  133	    0	  133	Horse
t  116	   19	  135	Cat
t   96	    1	   97	Pacific Ocean Water
t   85	    0	   85	Wild Turkey
t   82	    0	   82	Chicken
t   75	    0	   75	Bat
t   71	    0	   71	Pig
t   67	   25	   92	Seagull
