k,alpha,species,applied-region,Successes,Failures,NonDecisions,Total,DecisionAccuracy,OverallAccuracy
4 , 0.960 , OVERALL , 16-23 , 4293 , 1150 , 10 , 5453 , 0.789 , 0.787
4 , 0.960 , OVERALL , 23-5 , 5025 , 1118 , 29 , 6172 , 0.818 , 0.814
4 , 0.970 , OVERALL , 16-23 , 4285 , 1144 , 24 , 5453 , 0.789 , 0.786
4 , 0.970 , OVERALL , 23-5 , 5019 , 1109 , 44 , 6172 , 0.819 , 0.813
4 , 0.980 , OVERALL , 16-23 , 4269 , 1125 , 59 , 5453 , 0.791 , 0.783
4 , 0.980 , OVERALL , 23-5 , 5008 , 1084 , 80 , 6172 , 0.822 , 0.811
4 , 0.990 , OVERALL , 16-23 , 4187 , 1058 , 208 , 5453 , 0.798 , 0.768
4 , 0.990 , OVERALL , 23-5 , 4962 , 1032 , 178 , 6172 , 0.828 , 0.804
4 , 1.000 , OVERALL , 16-23 , 70 , 0 , 5383 , 5453 , 1.000 , 0.013
4 , 1.000 , OVERALL , 23-5 , 92 , 0 , 6080 , 6172 , 1.000 , 0.015
5 , 0.000 , OVERALL , 16-23 , 4267 , 1186 , 0 , 5453 , 0.783 , 0.783
5 , 0.000 , OVERALL , 23-5 , 4985 , 1187 , 0 , 6172 , 0.808 , 0.808
5 , 0.500 , OVERALL , 16-23 , 4270 , 1183 , 0 , 5453 , 0.783 , 0.783
5 , 0.500 , OVERALL , 23-5 , 4985 , 1184 , 3 , 6172 , 0.808 , 0.808
5 , 0.900 , OVERALL , 16-23 , 4269 , 1180 , 4 , 5453 , 0.783 , 0.783
5 , 0.900 , OVERALL , 23-5 , 4983 , 1178 , 11 , 6172 , 0.809 , 0.807
5 , 0.950 , OVERALL , 16-23 , 4266 , 1179 , 8 , 5453 , 0.783 , 0.782
5 , 0.950 , OVERALL , 23-5 , 4978 , 1172 , 22 , 6172 , 0.809 , 0.807
5 , 0.960 , OVERALL , 16-23 , 4266 , 1177 , 10 , 5453 , 0.784 , 0.782
5 , 0.960 , OVERALL , 23-5 , 4975 , 1168 , 29 , 6172 , 0.810 , 0.806
5 , 0.970 , OVERALL , 16-23 , 4256 , 1173 , 24 , 5453 , 0.784 , 0.780
5 , 0.970 , OVERALL , 23-5 , 4972 , 1156 , 44 , 6172 , 0.811 , 0.806
5 , 0.980 , OVERALL , 16-23 , 4237 , 1157 , 59 , 5453 , 0.786 , 0.777
5 , 0.980 , OVERALL , 23-5 , 4961 , 1131 , 80 , 6172 , 0.814 , 0.804
5 , 0.990 , OVERALL , 16-23 , 4160 , 1085 , 208 , 5453 , 0.793 , 0.763
5 , 0.990 , OVERALL , 23-5 , 4922 , 1072 , 178 , 6172 , 0.821 , 0.797
5 , 1.000 , OVERALL , 16-23 , 70 , 0 , 5383 , 5453 , 1.000 , 0.013
5 , 1.000 , OVERALL , 23-5 , 92 , 0 , 6080 , 6172 , 1.000 , 0.015
6 , 0.000 , OVERALL , 16-23 , 4221 , 1232 , 0 , 5453 , 0.774 , 0.774
6 , 0.000 , OVERALL , 23-5 , 4946 , 1226 , 0 , 6172 , 0.801 , 0.801
6 , 0.500 , OVERALL , 16-23 , 4223 , 1230 , 0 , 5453 , 0.774 , 0.774
6 , 0.500 , OVERALL , 23-5 , 4946 , 1223 , 3 , 6172 , 0.802 , 0.801
6 , 0.900 , OVERALL , 16-23 , 4223 , 1226 , 4 , 5453 , 0.775 , 0.774
6 , 0.900 , OVERALL , 23-5 , 4944 , 1217 , 11 , 6172 , 0.802 , 0.801
6 , 0.950 , OVERALL , 16-23 , 4223 , 1222 , 8 , 5453 , 0.776 , 0.774
6 , 0.950 , OVERALL , 23-5 , 4940 , 1210 , 22 , 6172 , 0.803 , 0.800
6 , 0.960 , OVERALL , 16-23 , 4225 , 1218 , 10 , 5453 , 0.776 , 0.775
6 , 0.960 , OVERALL , 23-5 , 4937 , 1206 , 29 , 6172 , 0.804 , 0.800
6 , 0.970 , OVERALL , 16-23 , 4215 , 1214 , 24 , 5453 , 0.776 , 0.773
6 , 0.970 , OVERALL , 23-5 , 4934 , 1194 , 44 , 6172 , 0.805 , 0.799
6 , 0.980 , OVERALL , 16-23 , 4199 , 1195 , 59 , 5453 , 0.778 , 0.770
6 , 0.980 , OVERALL , 23-5 , 4925 , 1167 , 80 , 6172 , 0.808 , 0.798
6 , 0.990 , OVERALL , 16-23 , 4123 , 1122 , 208 , 5453 , 0.786 , 0.756
6 , 0.990 , OVERALL , 23-5 , 4888 , 1106 , 178 , 6172 , 0.815 , 0.792
6 , 1.000 , OVERALL , 16-23 , 70 , 0 , 5383 , 5453 , 1.000 , 0.013
6 , 1.000 , OVERALL , 23-5 , 92 , 0 , 6080 , 6172 , 1.000 , 0.015
7 , 0.000 , OVERALL , 16-23 , 4204 , 1249 , 0 , 5453 , 0.771 , 0.771
7 , 0.000 , OVERALL , 23-5 , 4937 , 1235 , 0 , 6172 , 0.800 , 0.800
7 , 0.500 , OVERALL , 16-23 , 4206 , 1247 , 0 , 5453 , 0.771 , 0.771
7 , 0.500 , OVERALL , 23-5 , 4937 , 1232 , 3 , 6172 , 0.800 , 0.800
7 , 0.900 , OVERALL , 16-23 , 4206 , 1243 , 4 , 5453 , 0.772 , 0.771
7 , 0.900 , OVERALL , 23-5 , 4936 , 1225 , 11 , 6172 , 0.801 , 0.800
7 , 0.950 , OVERALL , 16-23 , 4206 , 1239 , 8 , 5453 , 0.772 , 0.771
7 , 0.950 , OVERALL , 23-5 , 4931 , 1219 , 22 , 6172 , 0.802 , 0.799
7 , 0.960 , OVERALL , 16-23 , 4206 , 1237 , 10 , 5453 , 0.773 , 0.771
7 , 0.960 , OVERALL , 23-5 , 4928 , 1215 , 29 , 6172 , 0.802 , 0.798
7 , 0.970 , OVERALL , 16-23 , 4197 , 1232 , 24 , 5453 , 0.773 , 0.770
7 , 0.970 , OVERALL , 23-5 , 4924 , 1204 , 44 , 6172 , 0.804 , 0.798
7 , 0.980 , OVERALL , 16-23 , 4182 , 1212 , 59 , 5453 , 0.775 , 0.767
7 , 0.980 , OVERALL , 23-5 , 4914 , 1178 , 80 , 6172 , 0.807 , 0.796
7 , 0.990 , OVERALL , 16-23 , 4103 , 1142 , 208 , 5453 , 0.782 , 0.752
7 , 0.990 , OVERALL , 23-5 , 4877 , 1117 , 178 , 6172 , 0.814 , 0.790
7 , 1.000 , OVERALL , 16-23 , 70 , 0 , 5383 , 5453 , 1.000 , 0.013
7 , 1.000 , OVERALL , 23-5 , 92 , 0 , 6080 , 6172 , 1.000 , 0.015
8 , 0.000 , OVERALL , 16-23 , 4172 , 1281 , 0 , 5453 , 0.765 , 0.765
8 , 0.000 , OVERALL , 23-5 , 4889 , 1283 , 0 , 6172 , 0.792 , 0.792
8 , 0.500 , OVERALL , 16-23 , 4174 , 1279 , 0 , 5453 , 0.765 , 0.765
8 , 0.500 , OVERALL , 23-5 , 4888 , 1281 , 3 , 6172 , 0.792 , 0.792
8 , 0.900 , OVERALL , 16-23 , 4174 , 1275 , 4 , 5453 , 0.766 , 0.765
8 , 0.900 , OVERALL , 23-5 , 4888 , 1273 , 11 , 6172 , 0.793 , 0.792
8 , 0.950 , OVERALL , 16-23 , 4174 , 1271 , 8 , 5453 , 0.767 , 0.765
8 , 0.950 , OVERALL , 23-5 , 4884 , 1266 , 22 , 6172 , 0.794 , 0.791
8 , 0.960 , OVERALL , 16-23 , 4173 , 1270 , 10 , 5453 , 0.767 , 0.765
8 , 0.960 , OVERALL , 23-5 , 4881 , 1262 , 29 , 6172 , 0.795 , 0.791
8 , 0.970 , OVERALL , 16-23 , 4161 , 1268 , 24 , 5453 , 0.766 , 0.763
8 , 0.970 , OVERALL , 23-5 , 4877 , 1251 , 44 , 6172 , 0.796 , 0.790
8 , 0.980 , OVERALL , 16-23 , 4147 , 1247 , 59 , 5453 , 0.769 , 0.760
8 , 0.980 , OVERALL , 23-5 , 4869 , 1223 , 80 , 6172 , 0.799 , 0.789
8 , 0.990 , OVERALL , 16-23 , 4072 , 1173 , 208 , 5453 , 0.776 , 0.747
8 , 0.990 , OVERALL , 23-5 , 4838 , 1156 , 178 , 6172 , 0.807 , 0.784
8 , 1.000 , OVERALL , 16-23 , 70 , 0 , 5383 , 5453 , 1.000 , 0.013
8 , 1.000 , OVERALL , 23-5 , 92 , 0 , 6080 , 6172 , 1.000 , 0.015
9 , 0.000 , OVERALL , 16-23 , 4143 , 1310 , 0 , 5453 , 0.760 , 0.760
9 , 0.000 , OVERALL , 23-5 , 4870 , 1302 , 0 , 6172 , 0.789 , 0.789
9 , 0.500 , OVERALL , 16-23 , 4145 , 1308 , 0 , 5453 , 0.760 , 0.760
9 , 0.500 , OVERALL , 23-5 , 4869 , 1300 , 3 , 6172 , 0.789 , 0.789
9 , 0.900 , OVERALL , 16-23 , 4145 , 1304 , 4 , 5453 , 0.761 , 0.760
9 , 0.900 , OVERALL , 23-5 , 4868 , 1293 , 11 , 6172 , 0.790 , 0.789
9 , 0.950 , OVERALL , 16-23 , 4145 , 1300 , 8 , 5453 , 0.761 , 0.760
9 , 0.950 , OVERALL , 23-5 , 4863 , 1287 , 22 , 6172 , 0.791 , 0.788
9 , 0.960 , OVERALL , 16-23 , 4143 , 1300 , 10 , 5453 , 0.761 , 0.760
9 , 0.960 , OVERALL , 23-5 , 4860 , 1283 , 29 , 6172 , 0.791 , 0.787
9 , 0.970 , OVERALL , 16-23 , 4131 , 1298 , 24 , 5453 , 0.761 , 0.758
9 , 0.970 , OVERALL , 23-5 , 4856 , 1272 , 44 , 6172 , 0.792 , 0.787
9 , 0.980 , OVERALL , 16-23 , 4116 , 1278 , 59 , 5453 , 0.763 , 0.755
9 , 0.980 , OVERALL , 23-5 , 4847 , 1245 , 80 , 6172 , 0.796 , 0.785
9 , 0.990 , OVERALL , 16-23 , 4050 , 1195 , 208 , 5453 , 0.772 , 0.743
9 , 0.990 , OVERALL , 23-5 , 4813 , 1181 , 178 , 6172 , 0.803 , 0.780
9 , 1.000 , OVERALL , 16-23 , 70 , 0 , 5383 , 5453 , 1.000 , 0.013
9 , 1.000 , OVERALL , 23-5 , 92 , 0 , 6080 , 6172 , 1.000 , 0.015
10 , 0.000 , OVERALL , 16-23 , 4115 , 1338 , 0 , 5453 , 0.755 , 0.755
10 , 0.000 , OVERALL , 23-5 , 4830 , 1342 , 0 , 6172 , 0.783 , 0.783
10 , 0.500 , OVERALL , 16-23 , 4117 , 1336 , 0 , 5453 , 0.755 , 0.755
10 , 0.500 , OVERALL , 23-5 , 4828 , 1341 , 3 , 6172 , 0.783 , 0.782
10 , 0.900 , OVERALL , 16-23 , 4117 , 1332 , 4 , 5453 , 0.756 , 0.755
10 , 0.900 , OVERALL , 23-5 , 4827 , 1334 , 11 , 6172 , 0.783 , 0.782
10 , 0.950 , OVERALL , 16-23 , 4117 , 1328 , 8 , 5453 , 0.756 , 0.755
10 , 0.950 , OVERALL , 23-5 , 4822 , 1328 , 22 , 6172 , 0.784 , 0.781
10 , 0.960 , OVERALL , 16-23 , 4117 , 1326 , 10 , 5453 , 0.756 , 0.755
10 , 0.960 , OVERALL , 23-5 , 4819 , 1324 , 29 , 6172 , 0.784 , 0.781
10 , 0.970 , OVERALL , 16-23 , 4105 , 1324 , 24 , 5453 , 0.756 , 0.753
10 , 0.970 , OVERALL , 23-5 , 4815 , 1313 , 44 , 6172 , 0.786 , 0.780
10 , 0.980 , OVERALL , 16-23 , 4091 , 1303 , 59 , 5453 , 0.758 , 0.750
10 , 0.980 , OVERALL , 23-5 , 4806 , 1286 , 80 , 6172 , 0.789 , 0.779
10 , 0.990 , OVERALL , 16-23 , 4027 , 1218 , 208 , 5453 , 0.768 , 0.738
10 , 0.990 , OVERALL , 23-5 , 4780 , 1214 , 178 , 6172 , 0.797 , 0.774
10 , 1.000 , OVERALL , 16-23 , 70 , 0 , 5383 , 5453 , 1.000 , 0.013
10 , 1.000 , OVERALL , 23-5 , 92 , 0 , 6080 , 6172 , 1.000 , 0.015
11 , 0.000 , OVERALL , 16-23 , 4080 , 1373 , 0 , 5453 , 0.748 , 0.748
11 , 0.000 , OVERALL , 23-5 , 4799 , 1373 , 0 , 6172 , 0.778 , 0.778
11 , 0.500 , OVERALL , 16-23 , 4082 , 1371 , 0 , 5453 , 0.749 , 0.749
11 , 0.500 , OVERALL , 23-5 , 4797 , 1372 , 3 , 6172 , 0.778 , 0.777
11 , 0.900 , OVERALL , 16-23 , 4082 , 1367 , 4 , 5453 , 0.749 , 0.749
11 , 0.900 , OVERALL , 23-5 , 4797 , 1364 , 11 , 6172 , 0.779 , 0.777
11 , 0.950 , OVERALL , 16-23 , 4086 , 1359 , 8 , 5453 , 0.750 , 0.749
11 , 0.950 , OVERALL , 23-5 , 4793 , 1357 , 22 , 6172 , 0.779 , 0.777
11 , 0.960 , OVERALL , 16-23 , 4085 , 1358 , 10 , 5453 , 0.751 , 0.749
11 , 0.960 , OVERALL , 23-5 , 4790 , 1353 , 29 , 6172 , 0.780 , 0.776
11 , 0.970 , OVERALL , 16-23 , 4074 , 1355 , 24 , 5453 , 0.750 , 0.747
11 , 0.970 , OVERALL , 23-5 , 4786 , 1342 , 44 , 6172 , 0.781 , 0.775
11 , 0.980 , OVERALL , 16-23 , 4059 , 1335 , 59 , 5453 , 0.753 , 0.744
11 , 0.980 , OVERALL , 23-5 , 4777 , 1315 , 80 , 6172 , 0.784 , 0.774
11 , 0.990 , OVERALL , 16-23 , 4007 , 1238 , 208 , 5453 , 0.764 , 0.735
11 , 0.990 , OVERALL , 23-5 , 4747 , 1247 , 178 , 6172 , 0.792 , 0.769
11 , 1.000 , OVERALL , 16-23 , 70 , 0 , 5383 , 5453 , 1.000 , 0.013
11 , 1.000 , OVERALL , 23-5 , 92 , 0 , 6080 , 6172 , 1.000 , 0.015
12 , 0.000 , OVERALL , 16-23 , 4080 , 1373 , 0 , 5453 , 0.748 , 0.748
12 , 0.000 , OVERALL , 23-5 , 4750 , 1422 , 0 , 6172 , 0.770 , 0.770
12 , 0.500 , OVERALL , 16-23 , 4082 , 1371 , 0 , 5453 , 0.749 , 0.749
12 , 0.500 , OVERALL , 23-5 , 4748 , 1421 , 3 , 6172 , 0.770 , 0.769
12 , 0.900 , OVERALL , 16-23 , 4082 , 1367 , 4 , 5453 , 0.749 , 0.749
12 , 0.900 , OVERALL , 23-5 , 4748 , 1413 , 11 , 6172 , 0.771 , 0.769
12 , 0.950 , OVERALL , 16-23 , 4085 , 1360 , 8 , 5453 , 0.750 , 0.749
12 , 0.950 , OVERALL , 23-5 , 4745 , 1405 , 22 , 6172 , 0.772 , 0.769
12 , 0.960 , OVERALL , 16-23 , 4085 , 1358 , 10 , 5453 , 0.751 , 0.749
12 , 0.960 , OVERALL , 23-5 , 4742 , 1401 , 29 , 6172 , 0.772 , 0.768
12 , 0.970 , OVERALL , 16-23 , 4072 , 1357 , 24 , 5453 , 0.750 , 0.747
12 , 0.970 , OVERALL , 23-5 , 4738 , 1390 , 44 , 6172 , 0.773 , 0.768
12 , 0.980 , OVERALL , 16-23 , 4060 , 1334 , 59 , 5453 , 0.753 , 0.745
12 , 0.980 , OVERALL , 23-5 , 4730 , 1362 , 80 , 6172 , 0.776 , 0.766
12 , 0.990 , OVERALL , 16-23 , 4005 , 1240 , 208 , 5453 , 0.764 , 0.734
12 , 0.990 , OVERALL , 23-5 , 4709 , 1285 , 178 , 6172 , 0.786 , 0.763
12 , 1.000 , OVERALL , 16-23 , 70 , 0 , 5383 , 5453 , 1.000 , 0.013
12 , 1.000 , OVERALL , 23-5 , 92 , 0 , 6080 , 6172 , 1.000 , 0.015
13 , 0.000 , OVERALL , 16-23 , 4044 , 1409 , 0 , 5453 , 0.742 , 0.742
13 , 0.000 , OVERALL , 23-5 , 4745 , 1427 , 0 , 6172 , 0.769 , 0.769
13 , 0.500 , OVERALL , 16-23 , 4046 , 1407 , 0 , 5453 , 0.742 , 0.742
13 , 0.500 , OVERALL , 23-5 , 4743 , 1426 , 3 , 6172 , 0.769 , 0.768
13 , 0.900 , OVERALL , 16-23 , 4046 , 1403 , 4 , 5453 , 0.743 , 0.742
13 , 0.900 , OVERALL , 23-5 , 4743 , 1418 , 11 , 6172 , 0.770 , 0.768
13 , 0.950 , OVERALL , 16-23 , 4049 , 1396 , 8 , 5453 , 0.744 , 0.743
13 , 0.950 , OVERALL , 23-5 , 4742 , 1408 , 22 , 6172 , 0.771 , 0.768
13 , 0.960 , OVERALL , 16-23 , 4049 , 1394 , 10 , 5453 , 0.744 , 0.743
13 , 0.960 , OVERALL , 23-5 , 4741 , 1402 , 29 , 6172 , 0.772 , 0.768
13 , 0.970 , OVERALL , 16-23 , 4036 , 1393 , 24 , 5453 , 0.743 , 0.740
13 , 0.970 , OVERALL , 23-5 , 4737 , 1391 , 44 , 6172 , 0.773 , 0.767
13 , 0.980 , OVERALL , 16-23 , 4022 , 1372 , 59 , 5453 , 0.746 , 0.738
13 , 0.980 , OVERALL , 23-5 , 4729 , 1363 , 80 , 6172 , 0.776 , 0.766
13 , 0.990 , OVERALL , 16-23 , 3970 , 1275 , 208 , 5453 , 0.757 , 0.728
13 , 0.990 , OVERALL , 23-5 , 4712 , 1282 , 178 , 6172 , 0.786 , 0.763
13 , 1.000 , OVERALL , 16-23 , 70 , 0 , 5383 , 5453 , 1.000 , 0.013
