k,alpha,species,applied-region,Successes,Failures,NonDecisions,Total,DecisionAccuracy,OverallAccuracy
16 , 0.500 , OVERALL , 16-23 , 3986 , 1467 , 0 , 5453 , 0.731 , 0.731
16 , 0.500 , OVERALL , 23-5 , 4664 , 1505 , 3 , 6172 , 0.756 , 0.756
16 , 0.900 , OVERALL , 16-23 , 3988 , 1461 , 4 , 5453 , 0.732 , 0.731
16 , 0.900 , OVERALL , 23-5 , 4664 , 1497 , 11 , 6172 , 0.757 , 0.756
16 , 0.950 , OVERALL , 16-23 , 3993 , 1452 , 8 , 5453 , 0.733 , 0.732
16 , 0.950 , OVERALL , 23-5 , 4666 , 1484 , 22 , 6172 , 0.759 , 0.756
16 , 0.960 , OVERALL , 16-23 , 3994 , 1449 , 10 , 5453 , 0.734 , 0.732
16 , 0.960 , OVERALL , 23-5 , 4665 , 1478 , 29 , 6172 , 0.759 , 0.756
16 , 0.970 , OVERALL , 16-23 , 3984 , 1445 , 24 , 5453 , 0.734 , 0.731
16 , 0.970 , OVERALL , 23-5 , 4662 , 1466 , 44 , 6172 , 0.761 , 0.755
16 , 0.980 , OVERALL , 16-23 , 3974 , 1420 , 59 , 5453 , 0.737 , 0.729
16 , 0.980 , OVERALL , 23-5 , 4657 , 1435 , 80 , 6172 , 0.764 , 0.755
16 , 0.990 , OVERALL , 16-23 , 3933 , 1312 , 208 , 5453 , 0.750 , 0.721
16 , 0.990 , OVERALL , 23-5 , 4647 , 1347 , 178 , 6172 , 0.775 , 0.753
16 , 1.000 , OVERALL , 16-23 , 70 , 0 , 5383 , 5453 , 1.000 , 0.013
16 , 1.000 , OVERALL , 23-5 , 92 , 0 , 6080 , 6172 , 1.000 , 0.015
17 , 0.000 , OVERALL , 16-23 , 3970 , 1483 , 0 , 5453 , 0.728 , 0.728
17 , 0.000 , OVERALL , 23-5 , 4661 , 1511 , 0 , 6172 , 0.755 , 0.755
17 , 0.500 , OVERALL , 16-23 , 3972 , 1481 , 0 , 5453 , 0.728 , 0.728
17 , 0.500 , OVERALL , 23-5 , 4659 , 1510 , 3 , 6172 , 0.755 , 0.755
17 , 0.900 , OVERALL , 16-23 , 3973 , 1476 , 4 , 5453 , 0.729 , 0.729
17 , 0.900 , OVERALL , 23-5 , 4658 , 1503 , 11 , 6172 , 0.756 , 0.755
17 , 0.950 , OVERALL , 16-23 , 3977 , 1468 , 8 , 5453 , 0.730 , 0.729
17 , 0.950 , OVERALL , 23-5 , 4660 , 1490 , 22 , 6172 , 0.758 , 0.755
17 , 0.960 , OVERALL , 16-23 , 3978 , 1465 , 10 , 5453 , 0.731 , 0.730
17 , 0.960 , OVERALL , 23-5 , 4659 , 1484 , 29 , 6172 , 0.758 , 0.755
17 , 0.970 , OVERALL , 16-23 , 3968 , 1461 , 24 , 5453 , 0.731 , 0.728
17 , 0.970 , OVERALL , 23-5 , 4656 , 1472 , 44 , 6172 , 0.760 , 0.754
17 , 0.980 , OVERALL , 16-23 , 3958 , 1436 , 59 , 5453 , 0.734 , 0.726
17 , 0.980 , OVERALL , 23-5 , 4653 , 1439 , 80 , 6172 , 0.764 , 0.754
17 , 0.990 , OVERALL , 16-23 , 3923 , 1322 , 208 , 5453 , 0.748 , 0.719
17 , 0.990 , OVERALL , 23-5 , 4635 , 1359 , 178 , 6172 , 0.773 , 0.751
17 , 1.000 , OVERALL , 16-23 , 70 , 0 , 5383 , 5453 , 1.000 , 0.013
17 , 1.000 , OVERALL , 23-5 , 92 , 0 , 6080 , 6172 , 1.000 , 0.015
